window,result,iou,gt_id,prediction_id,confidence
window_035,FN,,0.0,,
window_035,FN,,1.0,,
window_036,TP,0.8606405204115263,1.0,0.0,0.7659904956817627
window_036,FN,,0.0,,
window_037,TP,0.9083240163457995,1.0,0.0,0.7306726574897766
window_037,TP,0.6397344712811325,0.0,1.0,0.4006427824497223
window_037,FN,,2.0,,
window_038,FN,,0.0,,
window_038,FN,,1.0,,
window_038,FN,,2.0,,
window_039,FN,,0.0,,
window_039,FN,,1.0,,
window_039,FN,,2.0,,
window_040,TP,0.8258105595458568,0.0,0.0,0.9271461367607116
window_041,TP,0.8434433162409538,2.0,0.0,0.9274199604988098
window_041,TP,0.7898055405563985,1.0,1.0,0.922569215297699
window_041,FN,,0.0,,
window_042,TP,0.9080086537639525,0.0,1.0,0.9225552678108216
window_042,TP,0.6403490066321068,2.0,0.0,0.9260073304176332
window_042,FN,,1.0,,
window_043,TP,0.8951769736909292,1.0,0.0,0.9586025476455688
window_043,TP,0.8931641894861685,0.0,1.0,0.954060435295105
window_044,TP,0.8488771085805166,0.0,0.0,0.924363911151886
window_044,TP,0.7998432271707034,1.0,1.0,0.7271503210067749
window_045,TP,0.9079739243798786,2.0,3.0,0.9238750338554382
window_045,TP,0.8893514772309313,0.0,1.0,0.927362859249115
window_045,TP,0.8860952869459247,1.0,0.0,0.941084921360016
window_045,TP,0.7414311615683041,3.0,2.0,0.9245910048484802
window_046,TP,0.7760653746513106,1.0,1.0,0.9142464399337769
window_046,TP,0.7543864694613893,2.0,0.0,0.9170418977737428
window_046,FN,,0.0,,
window_046,FP,,,2.0,0.2617113292217254
window_049,TP,0.701729227765176,0.0,0.0,0.8530609607696533
window_050,TP,0.8466437611430399,3.0,2.0,0.8404017686843872
window_050,TP,0.8361681252507794,0.0,0.0,0.9478119611740112
window_050,TP,0.831033225827217,1.0,1.0,0.9384732842445374
window_050,TP,0.7324386408902044,2.0,3.0,0.7735587954521179
window_051,TP,0.9509986019935676,2.0,2.0,0.9347602725028992
window_051,TP,0.8883834433971485,1.0,1.0,0.952541172504425
window_051,TP,0.866543983442713,0.0,0.0,0.9597792625427246
window_052,TP,0.9265779960811963,1.0,1.0,0.932823896408081
window_052,TP,0.8877595524392808,0.0,0.0,0.9491012096405028
window_053,TP,0.9235707622667001,1.0,2.0,0.9038817882537842
window_053,TP,0.9206366486649012,0.0,0.0,0.9377408623695374
window_053,TP,0.8178133121155142,2.0,1.0,0.9048698544502258
window_054,TP,0.9796144833307109,1.0,2.0,0.9100528955459596
window_054,TP,0.8859905976150899,2.0,0.0,0.9549751877784728
window_054,TP,0.6899537324906072,0.0,1.0,0.9464855790138244
window_055,TP,0.9412304980456753,3.0,2.0,0.9425212740898132
window_055,TP,0.9089557940550149,2.0,1.0,0.9493350386619568
window_055,TP,0.8778032994536645,1.0,0.0,0.9591975808143616
window_055,TP,0.7921122928994275,0.0,3.0,0.8973007202148438
window_056,TP,0.903062724455555,0.0,0.0,0.9208090305328368
window_057,TP,0.9731089511931934,0.0,0.0,0.9380326867103576
window_057,TP,0.7695257115913922,1.0,1.0,0.8945222496986389
window_058,TP,0.8560708168054946,1.0,0.0,0.9098348021507264
window_058,TP,0.833247183737606,0.0,1.0,0.893653929233551
window_062,FN,,0.0,,
window_063,TP,0.6775031572428166,0.0,0.0,0.8928472399711609
window_064,TP,0.9165190291819181,2.0,0.0,0.9524377584457396
window_064,TP,0.8330716144076714,0.0,1.0,0.9220739006996156
window_064,TP,0.764470622394125,1.0,2.0,0.8919522762298584
window_065,TP,0.8739680432558964,1.0,1.0,0.9408484101295472
window_065,TP,0.8162668343851355,0.0,0.0,0.9554561376571656
window_065,TP,0.6721204338862913,2.0,2.0,0.8568806648254395
window_066,TP,0.9137498486001986,1.0,2.0,0.9257428646087646
window_066,TP,0.9135288215589393,2.0,1.0,0.953410506248474
window_066,TP,0.9106527983739594,0.0,0.0,0.9540520906448364
window_067,TP,0.8476814786199659,0.0,0.0,0.9432829022407532
window_068,TP,0.8728096177591332,0.0,0.0,0.9587433338165284
window_068,FP,,,1.0,0.8546199202537537
window_069,TP,0.9087984085265379,2.0,1.0,0.9389102458953856
window_069,TP,0.8880379226380292,1.0,0.0,0.9528352618217468
window_069,FN,,0.0,,
window_069,FP,,,2.0,0.8732695579528809
window_069,FP,,,3.0,0.8693260550498962
window_070,TP,0.9100608234714266,1.0,0.0,0.9342808723449708
window_070,FN,,0.0,,
window_071,TP,0.8998720043796581,1.0,0.0,0.9635102152824402
window_071,TP,0.8310916454821414,0.0,1.0,0.950245201587677
window_072,TP,0.9004352086481302,0.0,0.0,0.9505798816680908
window_073,TP,0.981008683451897,1.0,0.0,0.9494057297706604
window_073,FN,,0.0,,
window_073,FP,,,1.0,0.8862477540969849
window_073,FP,,,2.0,0.8744822144508362
