window,result,iou,gt_id,prediction_id,confidence
window_030,FN,,1.0,,
window_030,FN,,3.0,,
window_031,TP,0.8164803436890657,1.0,0.0,0.5346035957336426
window_031,TP,0.7849008574998468,2.0,1.0,0.4120422303676605
window_031,FN,,0.0,,
window_032,TP,0.8830542304423259,1.0,1.0,0.2549824118614197
window_032,TP,0.7192462557383912,0.0,0.0,0.5385065674781799
window_033,TP,0.9244576044072251,0.0,0.0,0.7180408835411072
window_034,TP,0.7805355081536345,0.0,1.0,0.375412255525589
window_034,TP,0.7435450205246473,1.0,0.0,0.779489278793335
window_035,TP,0.8809209598818475,0.0,0.0,0.873340904712677
window_035,FN,,1.0,,
window_036,TP,0.8466224294834023,1.0,0.0,0.9273215532302856
window_036,FN,,0.0,,
window_036,FN,,2.0,,
window_036,FP,,,1.0,0.2566576600074768
window_037,TP,0.9312233611950059,0.0,0.0,0.905716061592102
window_038,TP,0.7982912140414161,0.0,0.0,0.7598260045051575
window_038,FP,,,1.0,0.6274624466896057
window_039,TP,0.678399731436071,0.0,0.0,0.4261425733566284
window_039,FP,,,1.0,0.2594414353370666
window_040,FN,,0.0,,
window_040,FN,,1.0,,
window_040,FP,,,0.0,0.2811887264251709
window_041,FN,,0.0,,
window_042,TP,0.5031290734745835,0.0,0.0,0.3643941879272461
window_043,TP,0.6242144578461827,2.0,1.0,0.6636234521865845
window_043,TP,0.5864911557003036,0.0,0.0,0.818334698677063
window_043,FN,,1.0,,
window_043,FN,,3.0,,
window_043,FP,,,2.0,0.5269102454185486
window_043,FP,,,3.0,0.385471910238266
window_043,FP,,,4.0,0.3536244332790375
window_044,TP,0.7554196777488973,3.0,1.0,0.622212290763855
window_044,TP,0.5646706125664076,0.0,6.0,0.3984071016311645
window_044,FN,,1.0,,
window_044,FN,,2.0,,
window_044,FP,,,0.0,0.7220078706741333
window_044,FP,,,2.0,0.5279600024223328
window_044,FP,,,3.0,0.5156658291816711
window_044,FP,,,4.0,0.4896339178085327
window_044,FP,,,5.0,0.4819475710391998
window_044,FP,,,7.0,0.2555905878543854
window_045,TP,0.9497443798331615,0.0,3.0,0.4624150097370147
window_045,FN,,1.0,,
window_045,FP,,,0.0,0.7054228782653809
window_045,FP,,,1.0,0.5339918732643127
window_045,FP,,,2.0,0.4752029776573181
window_045,FP,,,4.0,0.3737603724002838
window_045,FP,,,5.0,0.3546669483184814
window_045,FP,,,6.0,0.2624133229255676
window_047,TP,0.9015524827465191,1.0,0.0,0.2806221544742584
window_047,FN,,0.0,,
window_048,TP,0.8274875712628168,2.0,0.0,0.8507160544395447
window_048,TP,0.6009117803535331,0.0,1.0,0.6317160129547119
window_048,FN,,1.0,,
window_048,FP,,,2.0,0.2542698085308075
window_049,TP,0.8715758399056692,0.0,0.0,0.8568711280822754
window_049,TP,0.6388734132272231,2.0,1.0,0.316853791475296
window_049,FN,,1.0,,
window_050,TP,0.6864824728446941,0.0,1.0,0.2641468942165375
window_050,FP,,,0.0,0.5785192847251892
window_051,TP,0.7582724684535425,0.0,0.0,0.7137264013290405
window_051,FN,,1.0,,
window_051,FP,,,1.0,0.3285062909126282
